编号,整理建议,故事环节,实验用途,已有结果如何理解,下一步,证据质量提醒,协议组,实验族,记录方法,划分,记录seed,LoRA rank,精度类型,本地状态,首记录轮,末记录轮,记录点数,末20轮起点,末20轮终点,末20轮Overall,末20轮Head20,末20轮Middle60,末20轮Tail20,末20轮NonTail80,末20轮Many大于100,末20轮Medium20至100,末20轮Few小于20,最后记录Overall,最后记录Tail,观测Tail峰值,观测峰值轮,观测峰值至最后回落pp,逐类复算状态,缺类逐类文件数,相同曲线副本组,跨seed同曲线组,正常训练,额外训练,损失,聚合,正常steps,额外steps,本地总steps,功能修正steps,原始路径,推荐结果入口,曲线来源
R179ebd4bd,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,CAPT可能按MAB稀疏聚合/评测；最后记录轮<100不能直接判定训练中断。,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,cifar100_LT/CAPT_cluster_vit_b16_batchSize32,CAPT,client-longtail,1,,,短运行或本地结果不完整,1,93,35,,,,,,,,,,,67.73,65.4,67.1,4,1.6999999999999886,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/CAPT_cluster_vit_b16_batchSize32/ExperimentD_AlignedPartitionCompare/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=1,output/cifar100_LT/CAPT_cluster_vit_b16_batchSize32/ExperimentD_AlignedPartitionCompare/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=1,output/cifar100_LT/CAPT_cluster_vit_b16_batchSize32/ExperimentD_AlignedPartitionCompare/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=1/round_metrics.csv
R95b3b9a3a,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,CAPT可能按MAB稀疏聚合/评测；最后记录轮<100不能直接判定训练中断。,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,cifar100_LT/CAPT_cluster_vit_b16_batchSize32,CAPT,noniid-labeldir-fine,1,,,短运行或本地结果不完整,1,97,36,,,,,,,,,,,67.49,63.7,63.7,97,0.0,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/CAPT_cluster_vit_b16_batchSize32/ExperimentD_AlignedPartitionCompare/partition=noniid-labeldir-fine_beta=0.5_IF=0.01_localE=3_seed=1,output/cifar100_LT/CAPT_cluster_vit_b16_batchSize32/ExperimentD_AlignedPartitionCompare/partition=noniid-labeldir-fine_beta=0.5_IF=0.01_localE=3_seed=1,output/cifar100_LT/CAPT_cluster_vit_b16_batchSize32/ExperimentD_AlignedPartitionCompare/partition=noniid-labeldir-fine_beta=0.5_IF=0.01_localE=3_seed=1/round_metrics.csv
R8bf06d0dc,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,CAPT可能按MAB稀疏聚合/评测；最后记录轮<100不能直接判定训练中断。,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,cifar100_LT/capt_main_matched,CAPT,client-longtail,1,,,短运行或本地结果不完整,1,96,9,,,,,,,,,,,70.72,68.3,72.65,31,4.3500000000000085,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/capt_main_matched/seed1/frac0.4/CAPT_client-longtail,output/cifar100_LT/capt_main_matched/seed1/frac0.4/CAPT_client-longtail,output/cifar100_LT/capt_main_matched/seed1/frac0.4/CAPT_client-longtail/round_metrics.csv
R6ae647bb7,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,CAPT可能按MAB稀疏聚合/评测；最后记录轮<100不能直接判定训练中断。,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,cifar100_LT/capt_main_matched,CAPT,noniid-labeldir,1,,,短运行或本地结果不完整,1,91,12,,,,,,,,,,,70.47,69.2,69.95,61,0.75,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/capt_main_matched/seed1/frac0.4/CAPT_noniid-labeldir,output/cifar100_LT/capt_main_matched/seed1/frac0.4/CAPT_noniid-labeldir,output/cifar100_LT/capt_main_matched/seed1/frac0.4/CAPT_noniid-labeldir/round_metrics.csv
Rc549c1144,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,CAPT可能按MAB稀疏聚合/评测；最后记录轮<100不能直接判定训练中断。,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,cifar100_LT/capt_main_matched,CAPT,client-longtail,3407,,,短运行或本地结果不完整,1,96,9,,,,,,,,,,,70.6,68.5,69.3,91,0.7999999999999972,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/capt_main_matched/seed3407/frac0.4/CAPT_client-longtail,output/cifar100_LT/capt_main_matched/seed3407/frac0.4/CAPT_client-longtail,output/cifar100_LT/capt_main_matched/seed3407/frac0.4/CAPT_client-longtail/round_metrics.csv
R8c59a1179,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,CAPT可能按MAB稀疏聚合/评测；最后记录轮<100不能直接判定训练中断。,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,cifar100_LT/capt_main_matched,CAPT,noniid-labeldir,3407,,,短运行或本地结果不完整,1,91,12,,,,,,,,,,,70.15,67.95,68.75,51,0.7999999999999972,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/capt_main_matched/seed3407/frac0.4/CAPT_noniid-labeldir,output/cifar100_LT/capt_main_matched/seed3407/frac0.4/CAPT_noniid-labeldir,output/cifar100_LT/capt_main_matched/seed3407/frac0.4/CAPT_noniid-labeldir/round_metrics.csv
Rc8babce21,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,CAPT可能按MAB稀疏聚合/评测；最后记录轮<100不能直接判定训练中断。,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,cifar100_LT/capt_main_matched,CAPT,client-longtail,42,,,短运行或本地结果不完整,1,96,9,,,,,,,,,,,70.21,70.1,70.1,96,0.0,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/capt_main_matched/seed42/frac0.4/CAPT_client-longtail,output/cifar100_LT/capt_main_matched/seed42/frac0.4/CAPT_client-longtail,output/cifar100_LT/capt_main_matched/seed42/frac0.4/CAPT_client-longtail/round_metrics.csv
R4435d1282,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,CAPT可能按MAB稀疏聚合/评测；最后记录轮<100不能直接判定训练中断。,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,cifar100_LT/capt_main_matched,CAPT,noniid-labeldir,42,,,短运行或本地结果不完整,1,91,12,,,,,,,,,,,71.19,68.0,70.85,21,2.8499999999999943,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/capt_main_matched/seed42/frac0.4/CAPT_noniid-labeldir,output/cifar100_LT/capt_main_matched/seed42/frac0.4/CAPT_noniid-labeldir,output/cifar100_LT/capt_main_matched/seed42/frac0.4/CAPT_noniid-labeldir/round_metrics.csv
Recceb29bf,建议归档,无效历史结果,旧LoRA生命周期异常运行,已有修复报告明确不作为有效LoRA训练结果。,排除论文数值与重复种子统计；原始文件留档。,,H5 其他历史协议；仅在同配置内比较,cifar100_LT/clientLT_seed42,ClipLora,client-longtail,42,,,已记录到第100轮或以后,1,100,100,81,100,64.9915,67.74249999999999,63.54333333333333,66.58500000000001,64.593125,65.61142857142858,64.29857142857142,65.07666666666667,64.93,66.5,66.9,20,0.4000000000000057,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/clientLT_seed42,output/cifar100_LT/clientLT_seed42,output/cifar100_LT/clientLT_seed42/round_metrics.csv
R546816346,必须保留,2 功能机制,普通 Dirichlet 下支持归一化干预，补充检验聚合影响,Client-LT final Tail 36.75→45.80；Dir 48.70→49.40。协议与固定边际 ERI 不同。,保留四格与代价；放附录或机制补充，不能充当 ERI 的 H3。,,P2 原始LoRA CE/rank2/AMP/普通Dir 2×2,cifar100_LT/ClipLora_SupportNormalized_2x2_seed42,ClipLora,client-longtail,42,2,amp,已记录到第100轮或以后,0,100,101,81,100,64.77250000000001,86.5525,66.78666666666666,36.95,71.728125,82.56571428571428,66.93142857142857,41.495,64.68,36.75,68.15,5,31.400000000000006,逐类核对通过,0,,,A、B同时更新；每轮3 epoch,无,普通 CE,分别平均A/B；权重q=n/N,,,,,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/fedavg,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/fedavg,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/fedavg/round_metrics.csv
Rebdd18038,必须保留,2 功能机制,普通 Dirichlet 下支持归一化干预，补充检验聚合影响,Client-LT final Tail 36.75→45.80；Dir 48.70→49.40。协议与固定边际 ERI 不同。,保留四格与代价；放附录或机制补充，不能充当 ERI 的 H3。,,P2 原始LoRA CE/rank2/AMP/普通Dir 2×2,cifar100_LT/ClipLora_SupportNormalized_2x2_seed42,ClipLora,client-longtail,42,2,amp,已记录到第100轮或以后,0,100,101,81,100,65.1425,85.2025,65.00750000000001,45.4875,70.05625,80.94428571428571,64.43857142857142,47.528333333333336,65.08,45.8,68.15,5,22.35000000000001,逐类核对通过,0,,,A、B同时更新；每轮3 epoch,无,普通 CE,分别平均A/B；每尾类在支持客户端内按样本量归一化，再对尾类等权平均,,,,,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/support_normalized,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/support_normalized,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/support_normalized/round_metrics.csv
Rf4337bdae,必须保留,2 功能机制,普通 Dirichlet 下支持归一化干预，补充检验聚合影响,Client-LT final Tail 36.75→45.80；Dir 48.70→49.40。协议与固定边际 ERI 不同。,保留四格与代价；放附录或机制补充，不能充当 ERI 的 H3。,,P2 原始LoRA CE/rank2/AMP/普通Dir 2×2,cifar100_LT/ClipLora_SupportNormalized_2x2_seed42,ClipLora,noniid-labeldir-fine,42,2,amp,已记录到第100轮或以后,0,100,101,81,100,66.842,86.08500000000001,66.43416666666667,48.822500000000005,71.346875,82.27714285714286,66.31,49.455,66.87,48.7,68.2,5,19.5,逐类核对通过,0,,,A、B同时更新；每轮3 epoch,无,普通 CE,分别平均A/B；权重q=n/N,,,,,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/fedavg,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/fedavg,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/fedavg/round_metrics.csv
Rf42d9c19c,必须保留,2 功能机制,普通 Dirichlet 下支持归一化干预，补充检验聚合影响,Client-LT final Tail 36.75→45.80；Dir 48.70→49.40。协议与固定边际 ERI 不同。,保留四格与代价；放附录或机制补充，不能充当 ERI 的 H3。,,P2 原始LoRA CE/rank2/AMP/普通Dir 2×2,cifar100_LT/ClipLora_SupportNormalized_2x2_seed42,ClipLora,noniid-labeldir-fine,42,2,amp,已记录到第100轮或以后,0,100,101,81,100,66.6745,85.4275,66.0275,49.8625,70.8775,81.74285714285715,65.82857142857142,50.08166666666666,66.69,49.4,68.05,5,18.65,逐类核对通过,0,,,A、B同时更新；每轮3 epoch,无,普通 CE,分别平均A/B；每尾类在支持客户端内按样本量归一化，再对尾类等权平均,,,,,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/support_normalized,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/support_normalized,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/support_normalized/round_metrics.csv
R9aa7ce4c3,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,这里的末20轮是1–20，不是81–100，不进入正式主表。,H1 历史FedTEF，不能并入SFRA主表,cifar100_LT/fedtef_clean_topology,FedTEF,client-longtail,1,,,短运行或本地结果不完整,1,20,20,1,20,59.37949999999999,82.58250000000001,60.48416666666667,32.8625,66.00874999999999,77.60857142857142,61.19571428571428,35.99333333333333,60.95,30.35,47.5,9,17.15,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/fedtef_clean_topology/seed1/frac0.4/Topo-FedTEF-clean_client-longtail,output/cifar100_LT/fedtef_clean_topology/seed1/frac0.4/Topo-FedTEF-clean_client-longtail,output/cifar100_LT/fedtef_clean_topology/seed1/frac0.4/Topo-FedTEF-clean_client-longtail/round_metrics.csv
Rd61ec5f8f,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,,H1 历史FedTEF，不能并入SFRA主表,cifar100_LT/fedtef_clean_topology,FedTEF,client-longtail,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,67.72,58.6,70.1,21,11.499999999999993,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/fedtef_clean_topology/seed1/frac0.4/Topo-FedTEF-oracle-bottom20_client-longtail,output/cifar100_LT/fedtef_clean_topology/seed1/frac0.4/Topo-FedTEF-oracle-bottom20_client-longtail,output/cifar100_LT/fedtef_clean_topology/seed1/frac0.4/Topo-FedTEF-oracle-bottom20_client-longtail/round_metrics.csv
R1a385d496,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,本地未发现标准精度CSV；部分诊断入口按设计在全局测试前结束。,H1 历史FedTEF，不能并入SFRA主表,cifar100_LT/fedtef_v10_topology_observer,,client-longtail,1,,,只有日志或配置，未发现精度结果,,,0,,,,,,,,,,,,,,,,缺少可交叉核对的分组或逐类文件,0,,,,,,,,,,,output/cifar100_LT/fedtef_v10_topology_observer/seed1/frac0.4/FedTEF-v10-topology_client-longtail,output/cifar100_LT/fedtef_v10_topology_observer/seed1/frac0.4/FedTEF-v10-topology_client-longtail,per_class CSV
Rb20a56182,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,不同seed记录的整条精度相同，复现实验独立性待查。,H1 历史FedTEF，不能并入SFRA主表,cifar100_LT/fedtef_v10_topology_observer,FedTEF,noniid-labeldir,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,64.52,42.85,49.65,6,6.799999999999997,逐类核对通过,0,,Xc86c9274,,,,,,,,,output/cifar100_LT/fedtef_v10_topology_observer/seed1/frac0.4/FedTEF-v10-topology_noniid-labeldir,output/cifar100_LT/fedtef_v10_topology_observer/seed1/frac0.4/FedTEF-v10-topology_noniid-labeldir,output/cifar100_LT/fedtef_v10_topology_observer/seed1/frac0.4/FedTEF-v10-topology_noniid-labeldir/round_metrics.csv
Rcaba3e3b0,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,不同seed记录的整条精度相同，复现实验独立性待查。,H1 历史FedTEF，不能并入SFRA主表,cifar100_LT/fedtef_v10_topology_observer,FedTEF,noniid-labeldir,3407,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,64.52,42.85,49.65,6,6.799999999999997,逐类核对通过,0,,Xc86c9274,,,,,,,,,output/cifar100_LT/fedtef_v10_topology_observer/seed3407/frac0.4/FedTEF-v10-topology_noniid-labeldir,output/cifar100_LT/fedtef_v10_topology_observer/seed3407/frac0.4/FedTEF-v10-topology_noniid-labeldir,output/cifar100_LT/fedtef_v10_topology_observer/seed3407/frac0.4/FedTEF-v10-topology_noniid-labeldir/round_metrics.csv
R8f22b5dbd,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,不同seed记录的整条精度相同，复现实验独立性待查。,H1 历史FedTEF，不能并入SFRA主表,cifar100_LT/fedtef_v10_topology_observer,FedTEF,noniid-labeldir,42,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,64.52,42.85,49.65,6,6.799999999999997,逐类核对通过,0,,Xc86c9274,,,,,,,,,output/cifar100_LT/fedtef_v10_topology_observer/seed42/frac0.4/FedTEF-v10-topology_noniid-labeldir,output/cifar100_LT/fedtef_v10_topology_observer/seed42/frac0.4/FedTEF-v10-topology_noniid-labeldir,output/cifar100_LT/fedtef_v10_topology_observer/seed42/frac0.4/FedTEF-v10-topology_noniid-labeldir/round_metrics.csv
