实验族,整理建议,故事环节,用途,已有结论,建议行动,文件数,大小MB,运行目录数,记录到100轮目录数,逐运行建议,报告入口
cifar100_LT/fedtef_v7_allrows_l03,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,37,13.80848217010498,1,1,"{""建议归档"": 1}",
cifar100_LT/fedtef_v7_routed_prompt_dirichlet,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,37,13.731216430664062,1,1,"{""建议归档"": 1}",
cifar100_LT/fedtef_v8_acquisition_dirichlet,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,37,15.823572158813477,1,1,"{""建议归档"": 1}",
cifar100_LT/fedtef_v8_lite_dirichlet,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,37,15.82345962524414,1,1,"{""建议归档"": 1}",
cifar100_LT/fedtef_v9_clean_acquisition_dirichlet,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,37,18.110480308532715,1,1,"{""建议归档"": 1}",
cifar100_LT/gate_summary.json,工程或索引,零散文件与归档,附件、压缩包或派生统计,归档内容另行核对；不把每个文件算一个实验族。,建立索引，不自动删除。,1,0.07914543151855469,0,0,{},
cifar100_LT/lora,建议归档,旧单边pilot,修复后早期LoRA Client-LT单边曲线,只可说明趋势，缺同协议配对；已被2×2和ERI替代。,保留历史，不再单独作为主对照。,114,19.00454807281494,1,1,"{""建议归档"": 1}",
cifar100_LT/output.tar.gz,工程或索引,零散文件与归档,附件、压缩包或派生统计,归档内容另行核对；不把每个文件算一个实验族。,建立索引，不自动删除。,1,35.01387023925781,0,0,{},
cifar10_LT/.DS_Store,工程或索引,零散文件与归档,附件、压缩包或派生统计,归档内容另行核对；不把每个文件算一个实验族。,建立索引，不自动删除。,1,0.005863189697265625,0,0,{},
cifar10_LT/CAPT_cluster_vit_b16_batchSize32,建议归档,未形成证据,CIFAR10旧日志目录,未发现可汇总的逐轮准确率文件。,只记本地无完整结果，不声称跨数据集已验证。,4,0.04998493194580078,1,0,"{""建议归档"": 1}",
compatibility_retention_bridge,待定用途,2 功能机制,局部更新兼容性到一步保持的桥接,该局部实验门槛通过；不能解释全部长程拓扑精度差。,与当前功能保持有联系时放附录，否则归档。,7,0.18807029724121094,0,0,{},
cusp_minimal_refactor_20260801_163123,建议归档,旧 gate / oracle,短程gate、oracle及两轮验证,不能替代100轮单共享模型的适配与保持验证。,停止作为论文主结果；留工程/可行性历史。,20,34.75947380065918,1,0,"{""建议归档"": 1}",output/cusp_minimal_refactor_20260801_163123/cusp_eval_client-longtail_seed42_round10/oracle_summary.md
cusp_minimal_seed42_refactor_20260801_042324,建议归档,旧 gate / oracle,短程gate、oracle及两轮验证,不能替代100轮单共享模型的适配与保持验证。,停止作为论文主结果；留工程/可行性历史。,13,32.70247745513916,1,0,"{""建议归档"": 1}",
d4a_per_class_round.csv,工程或索引,零散文件与归档,附件、压缩包或派生统计,归档内容另行核对；不把每个文件算一个实验族。,建立索引，不自动删除。,1,0.20450210571289062,0,0,{},
e1_seed42_results_for_analysis,待定用途,边界与反证,strength/breadth 旧机制门槛,预注册结论 STRONG_BUT_NOT_NARROW；不支持“学得强但功能必然更窄”。,保留反证；不能作为来源稀缺必然低功能广度的正证据。,241,6.563684463500977,2,2,"{""待定用途"": 2}",output/e1_seed42_results_for_analysis/e1_strength_breadth/formal/seed42/analysis/e1_seed42_summary.md
eri_closure_v1,必须保留,2 功能机制,W/H/D/R 正负贡献预算与尾类保持,直接支持者正贡献 W 下降更明显；非持有者既可帮助也可损害。H2部分支持，H3未运行。,保留机制解释及边界；不得宣称完整因果闭环。,15,2.4142370223999023,0,0,{},output/eri_closure_v1/seed42_preregistered_analysis.md
eri_seed42_share,必须保留,1 现象与分配对照,开篇 FedAvg＋LoRA 训练轨迹；固定边际拓扑对照,Client-LT 尾类峰值68.80→37.15；matched Dir 68.75→49.40。支持曾有能力随后退化。,正文保留两条完整曲线；同时列固定边际与参与率。,258,48.02205467224121,2,2,"{""必须保留"": 2}",
exp1_longtail_per_client,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,11,0.8790903091430664,0,0,{},
expC_lambda_response_frac02,待定用途,设定敏感性,PromptFL/CAPT/zero-shot × specialization λ × seed,不同方法对拓扑响应不同；CAPT采用稀疏聚合/评估，zero-shot只需一次评测。,设定附录候选；不按100轮连续指标强行平均，不直接排序跨协议。,1638,219.536226272583,45,15,"{""待定用途"": 45}",
expD_dirichlet_vs_clientlt,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,263,2.9421701431274414,1,0,"{""待定用途"": 1}",
expF_shared_schedules,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,1,0.0006990432739257812,0,0,{},
experiment1_global_longtail_verification,待定用途,设定与结构,划分正确性、覆盖/暴露和参数扫,能验证数据分配结构；不能直接证明遗忘机制。,保留准确对应当前分配版本的一套，其他放附录或版本历史。,12,0.1811532974243164,0,0,{},output/experiment1_global_longtail_verification/paper_notes.md
experiments,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,3,0.08528614044189453,0,0,{},experiments/README_expC_lambda_response.md
factor_roles_analysis,必须保留,边界与反证,检查 A/B 是否天然分工为客户端/类别知识,6个共同锚点均未通过预定义角色交叉条件，幅度匹配后也不支持。,保留反证以约束写法；不必占正文主图，停止用天然知识分工解释模块。,25,3.119870185852051,0,0,{},output/factor_roles_analysis/analysis/report.md; output/factor_roles_analysis/review/详细分析.md
functional_breadth_p0_p1_seed42,建议归档,旧机制,功能广度P0/P1旧导出,后续v2修正有效单元口径；旧P0数量不应继续引用。,只保留版本历史，优先使用v2。,6,0.05100250244140625,0,0,{},output/functional_breadth_p0_p1_seed42/p0_p1_report.md; output/functional_breadth_p0_p1_seed42/p0_frac1_audit/p0_report.md
functional_breadth_p0_p1_seed42_v2,待定用途,边界与反证,修正版功能广度门槛,全参与Client-LT P0合格单元为0；P1只部分支持（4/20尾类）。,保留证据边界；不能当作普遍机制结论。,22,15.838719367980957,0,0,{},output/functional_breadth_p0_p1_seed42_v2/p0_p1_report.md; output/functional_breadth_p0_p1_seed42_v2/p0_frac1_audit/p0_report.md; output/functional_breadth_p0_p1_seed42_v2/p1_functional_breadth/p1_report.md
functional_cusp_gate_seed42,建议归档,旧 gate 方案,functional CUSP gate,已有两拓扑门槛汇总结论FAIL。,保留失败记录，不继续并入当前A方法。,39,95.63693332672119,1,0,"{""建议归档"": 1}",
la_control_ablation_analysis,必须保留,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,使用完整结果及逐类指标；E5单独归档；普通和 matched Dir 分栏。,2600,58.158504486083984,10,10,"{""建议归档"": 10}",output/la_control_ablation_analysis/la_control/analysis/report.md; output/la_control_ablation_analysis/review/详细分析.md
la_control_analysis,建议归档,3 适配与保持,早期 LA 结果回传包,已被后续更完整包覆盖；部分目录只有22/34轮。,保留引用映射，停止当作新增实验或待补跑任务。,1211,28.422669410705566,6,4,"{""建议归档"": 6}",output/la_control_analysis/la_control/analysis/report.md
la_control_dirichlet_supplement_analysis,必须保留,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,使用完整结果及逐类指标；E5单独归档；普通和 matched Dir 分栏。,1014,21.890076637268066,4,4,"{""必须保留"": 3, ""建议归档"": 1}",output/la_control_dirichlet_supplement_analysis/la_control/analysis/report.md
la_control_js_topology_analysis,必须保留,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,使用完整结果及逐类指标；E5单独归档；普通和 matched Dir 分栏。,3166,69.76751232147217,12,12,"{""必须保留"": 10, ""建议归档"": 2}",output/la_control_js_topology_analysis/la_control/analysis/report.md; output/la_control_js_topology_analysis/review/详细分析.md
la_control_six_runs_analysis,建议归档,3 适配与保持,早期 LA 结果回传包,已被后续更完整包覆盖；部分目录只有22/34轮。,保留引用映射，停止当作新增实验或待补跑任务。,1565,37.831454277038574,6,6,"{""建议归档"": 6}",output/la_control_six_runs_analysis/la_control/analysis/report.md
la_control_standard_dirichlet_e3_j_s_analysis,必须保留,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,使用完整结果及逐类指标；E5单独归档；普通和 matched Dir 分栏。,811,15.493891716003418,3,3,"{""必须保留"": 3}",output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/analysis/report.md; output/la_control_standard_dirichlet_e3_j_s_analysis/review/详细分析.md
la_lambda_sweep_seed42_results,建议归档,旧聚合方案,旧服务器 LA 聚合正则扫描,这是服务器聚合权重方案，不是当前本地LA训练；不能混淆同名λ。,版本归档；当前主线不再扩展此扫描。,32,1.6845779418945312,4,4,"{""建议归档"": 4}",
lora_ab_separation_review_20260916,工程或索引,历史审阅,旧A/B总表与审查,保留历史配置解释；其中“待补”状态可能已过时。,本次总账为索引入口，引用原始运行而非重复计数报告。,13,0.18994522094726562,0,0,{},output/lora_ab_separation_review_20260916/report.md; output/lora_ab_separation_review_20260916/result_tables.md
many_medium_few_reanalysis_20260925,必须保留,指标与复算,按频数重分 Many/Medium/Few,35/35/30与Head20/Middle60/Tail20不是同一分组。,保留统一指标表；这是已有训练结果重算，不新增运行。,19,1.1406316757202148,0,0,{},output/many_medium_few_reanalysis_20260925/report.md; output/many_medium_few_reanalysis_20260925/分析结论.md
online_sca_seed42_v2,建议归档,旧 SCA 方案,80轮online SCA与残差FedAvg/CAPT,拓扑gate无方向性支持；旧prompt/residual协议不同。,保留80轮原协议结果，停止继续扩展SCA路线。,538,5.501700401306152,6,0,"{""建议归档"": 6}",output/online_sca_seed42_v2/stage1a_topology_gate/stage1a_report.md; output/online_sca_seed42_v2/stage1b_capt_gap/stage1b_report.md
p0_v1_context_colocation_v2,待定用途,设定与代理指标,语义邻居共现的受控代理分析,发现代理广度差异；不是梯度作用、保持效果或准确率因果验证。,只作设定分析备选，不替代功能归因。,27,4.556633949279785,0,0,{},output/p0_v1_context_colocation_v2/training_semantics_audit.md; output/p0_v1_context_colocation_v2/v1_report.md
partition_checks,待定用途,设定与结构,划分正确性、覆盖/暴露和参数扫,能验证数据分配结构；不能直接证明遗忘机制。,保留准确对应当前分配版本的一套，其他放附录或版本历史。,2,0.013202667236328125,0,0,{},
pfrf_kill_v1,建议归档,旧抗遗忘方案,PFRF max/add、瞬时目标、匹配记忆与类别加权,PFRF-max late Tail36.905，低于matched-memory40.10和class-reweighted41.325。,保留失败与负对照；停止用旧PFRF命名统领当前SFRA故事。,719,296.9908962249756,6,6,"{""建议归档"": 6}",
pfrf_smoke_unit_audit,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,1,0.00023746490478515625,0,0,{},
pfrf_smoke_unit_local,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,1,0.0001583099365234375,0,0,{},
phase1_exposure_topology,待定用途,设定与结构,划分正确性、覆盖/暴露和参数扫,能验证数据分配结构；不能直接证明遗忘机制。,保留准确对应当前分配版本的一套，其他放附录或版本历史。,11,0.36652660369873047,0,0,{},
phase2_failure_mechanisms,待定用途,旧机制,暴露→本地收益→聚合/保持诊断,含必要成对日志规范；分析版本早于当前ERI与SFRA。,按需查数据来源；不重复制作同类主图。,7,0.4666929244995117,0,0,{},output/phase2_failure_mechanisms/phase2_required_pairwise_logging.md
post_write_rewrite_audit,待定用途,2 功能机制,固定更新的写入后改写与风险重放,D1不支持完整donor→rewriter转变链；D2支持风险与保持关系。,机制补充候选；注明固定更新重放，不是动态联邦重训练。,36,2.9457530975341797,0,0,{},
rank4_fedavg_analysis,待定用途,配置与稳健性,固定 A rank2/4/8 对照,rank4略优；alpha固定导致rank与缩放同时变化，不能得出纯容量结论。,作为配置出处/附录；不需继续无目的扫rank。,111,4.561379432678223,1,1,"{""待定用途"": 1}",
rank8_fedavg_analysis,待定用途,配置与稳健性,固定 A rank2/4/8 对照,rank4略优；alpha固定导致rank与缩放同时变化，不能得出纯容量结论。,作为配置出处/附录；不需继续无目的扫rank。,111,4.561716079711914,1,1,"{""待定用途"": 1}",
rank_sweep_analysis,待定用途,配置与稳健性,固定 A rank2/4/8 对照,rank4略优；alpha固定导致rank与缩放同时变化，不能得出纯容量结论。,作为配置出处/附录；不需继续无目的扫rank。,8,0.24319744110107422,0,0,{},output/rank_sweep_analysis/report.md
selective_sync_v1_training_check,建议归档,旧 A/B 方案,private B / selective sync L1/L3/L5/L10,该路线与最终单一共享模型及当前SFRA方法不同；不能替代主方法A/B消融。,保留结果和实现，停止作为当前论文主实验扩展。,44,120.52936267852783,4,4,"{""建议归档"": 4}",
sfra_b_aggregation_analysis,必须保留,5 辅助方法 B,uniform8 × 有无旧B迁移的必要负对照,uniform8下B额外late Tail仅+0.0225；更换权重并未显示大幅增益。,保留弱收益证据；不能与A-only样本权重基线跨配方直接归因。,1489,100.79173946380615,2,2,"{""必须保留"": 2}",output/sfra_b_aggregation_analysis/sfra_b_aggregation/analysis/report.md
sfra_b_shared_transfer_analysis,必须保留,5 辅助方法 B,当前共享 B 迁移及 A-only 对照,对 A-only late Tail+0.1525，Overall+0.0695，Few30约+0.3717；单seed增益较小。,若论文保留B模块，此对照必须保留，但不足以声称显著抗遗忘。,798,49.9983606338501,1,1,"{""必须保留"": 1}",output/sfra_b_shared_transfer_analysis/review/statistics.md; output/sfra_b_shared_transfer_analysis/review/分析结论.md; output/sfra_b_shared_transfer_analysis/sfra_b_shared_transfer/analysis/report.md
sfra_b_transfer_run2_analysis,待定用途,5 辅助方法 B,旧版接收端 B 迁移学习率扫描,lr0.03/0.1/0.3均只有很小正向差异；与共享B实现不同。,作为版本追踪或附录；停止扩大旧版扫描，优先检验共享B实际价值。,2282,154.96502590179443,3,3,"{""待定用途"": 3}",output/sfra_b_transfer_run2_analysis/sfra_b_transfer_run2/analysis/report.md
sfra_cp_analysis,必须保留,4 主方法 A,Full-CP 主方法与分类正则 μ 扫描,μ1 late Tail70.935、Overall70.633；μ3提高头中部但降低尾类保持。,μ1作为当前约定主设置；μ0.3/3完整保留为敏感性，勿按测试峰值选优。,2101,134.2176399230957,3,3,"{""待定用途"": 2, ""必须保留"": 1}",output/sfra_cp_analysis/sfra_cp/analysis/report.md
sfra_cp_analysis_new,必须保留,4 主方法 A,Flat-CP 去掉来源优先级,Full-CP比Flat-CP末20轮Tail高0.880点；Overall低0.0795点；回落少1.10点。,保留单因素规则对照，注明fast执行路径差异；补齐同版Current-CP。,706,44.29916954040527,1,1,"{""必须保留"": 1}",output/sfra_cp_analysis_new/sfra_cp/analysis/report.md
sfra_v1_analysis,必须保留,4 主方法 A,来源、历史功能目标与功能修正的早期对照,Full λ10较同频 S 提高 Tail，牺牲部分 Overall；Current/Flat 是无CP的旧消融。,Full λ10作无CP消融；其余作为历史证据或超参附录。,3522,216.33827877044678,5,5,"{""待定用途"": 4, ""必须保留"": 1}",output/sfra_v1_analysis/review/详细分析.md; output/sfra_v1_analysis/sfra_v1/analysis/report.md
stage2c,待定用途,旧机制,共享基底与残差时间错配诊断,旧残差放到新共享模型退化；属于另一套残差方法协议。,必要时作设计动机附录，勿当成当前LoRA A/B因果分工。,7,0.27012157440185547,0,0,{},output/stage2c/stage2c_report.md
stage3_two_round_seed42,建议归档,旧 gate / oracle,短程gate、oracle及两轮验证,不能替代100轮单共享模型的适配与保持验证。,停止作为论文主结果；留工程/可行性历史。,59,9.680107116699219,3,0,"{""建议归档"": 3}",
strict_exp1_fresh_topology,待定用途,设定与结构,划分正确性、覆盖/暴露和参数扫,能验证数据分配结构；不能直接证明遗忘机制。,保留准确对应当前分配版本的一套，其他放附录或版本历史。,24,0.6143207550048828,0,0,{},output/strict_exp1_fresh_topology/paper_notes.md
test,建议归档,旧日志结果,test目录的旧ACPFL评测日志,日志末次Overall94.04%；Head/Medium/Tail标签为旧75%/95%/5%口径，不可当当前Tail20。,保存日志独立摘要；不并入当前CIFAR100-LT正式主表。,42,33.14727020263672,1,0,"{""建议归档"": 1}",
test_v0_synthetic,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,1,0.00084686279296875,0,0,{},
test_v0_synthetic_final,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,1,0.00084686279296875,0,0,{},
test_v0_synthetic_final2,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,1,0.00084686279296875,0,0,{},
tmp,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,4,3.7087326049804688,0,0,{},
topology_breadth_phase2_seed42,待定用途,2 功能机制,固定边际更新功能广度诊断,仿真侧机制审计；单seed，full availability与frac0.4需区分。,如要引用逐项复核其门槛；当前主线由ERI承担。,8,5.320951461791992,0,0,{},
topology_sweep,待定用途,设定与结构,划分正确性、覆盖/暴露和参数扫,能验证数据分配结构；不能直接证明遗忘机制。,保留准确对应当前分配版本的一套，其他放附录或版本历史。,41,1.1266603469848633,0,0,{},
v2_capt_analysis,待定用途,外部方法与旧聚合,固定 A 的 FedAvg/static/progressive 与 CAPT,static/progressive对Tail有小幅改善；CAPT整体更高、Tail更低；协议需明确。,rank2旧方法比较可留附录；最终外部基线先审客户端起点、预算与测试反馈。,452,18.33441162109375,4,4,"{""待定用途"": 4}",output/v2_capt_analysis/analysis/report.md
v2_v3_semantic_acquisition,建议归档,旧语义形成假说,语义共现→功能形成的机制链,V2 NO_FUNCTIONAL_SUPPORT；联合结论FORMATION_CHAIN_NOT_SUPPORTED。,停止沿“语义共现不足已被证明”写故事；留负结果索引。,281,211.196870803833,0,0,{},output/v2_v3_semantic_acquisition/v2_full/v2_summary.md; output/v2_v3_semantic_acquisition/v2_topology_full/v2_joint_summary.md; output/v2_v3_semantic_acquisition/v2_topology_full/v2_topology_summary.md
