类别,实验具体设置,是否LoRA,数据划分,rank/精度,正常训练阶段,额外更新阶段,损失/类别校正,服务器聚合/接收方式,状态与统计口径,Overall,Non-tail80,Tail20,Tail第100轮,Tail峰值到最终下降pp,说明,结果来源
分离训练主线,正常只训练B，间歇额外更新A（早期协议）,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,普通 CE,按样本量聚合,已完成100轮,65.89,67.918125,57.7775,55.8,12.700000000000003,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/round_metrics.csv
分离训练主线,正常只训练B，以本地功能缺口加权额外更新A,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,正常CE；额外A用频数归一化的缺口加权CE,按样本量聚合,已完成100轮,65.2645,68.02375,54.2275,52.35,15.999999999999993,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/round_metrics.csv
分离训练主线,固定A，正常训练B并额外训练B（早期协议）,有,固定容量狄利克雷,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外B更新，各1 epoch,普通 CE,按样本量聚合,已完成100轮,67.675,67.61812499999999,67.9025,67.85,0.15000000000000568,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c1/round_metrics.csv
分离训练主线,正常只训练B，间歇额外更新A（早期协议）,有,固定容量狄利克雷,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,普通 CE,按样本量聚合,已完成100轮,66.258,67.918125,59.6175,58.35,10.300000000000004,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c2/round_metrics.csv
分离/联合/交替训练对照,固定A，正常与额外阶段都只更新B（后期CE协议）,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外B，各1 epoch,普通CE，τ=0,按样本量聚合,已完成100轮,67.697,67.685625,67.7425,67.55,0.45000000000000284,早期CE协议结果不与本行合并,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,正常只更新B，间歇额外更新A（后期CE协议）,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A，各1 epoch；冻结共同B,普通CE，τ=0,按样本量聚合,已完成100轮,65.876,67.92,57.7,55.65,12.899999999999999,早期CE协议结果不与本行合并,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e1/tau0_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，固定A，正常与额外阶段都更新B,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外B，各1 epoch,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,68.101,67.71375,69.64999999999999,69.8,0.04999999999999716,全程A不更新,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常只更新B，间歇额外更新A,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,69.6455,69.243125,71.255,71.05,0.3500000000000085,A只在9个额外阶段更新,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，功能控制选择额外A或B更新,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,A/B两候选＋2轮前瞻；门控、冻结与有效锚点恢复,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,69.5405,69.138125,71.15,71.25,0.0,实际接受7次A；第92轮永久冻结；含额外分支/前瞻计算,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常A/B联合更新，并保留额外A更新,有,Client-LT,4/FP32,A、B同时更新；每轮3 epoch,9次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,71.196,73.9275,60.27,59.55,12.150000000000006,不是单纯AB联训：9次额外A仍保留；A/B分别平均，无SVD,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/j/tau1_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常只更新B，前90轮每轮额外更新A,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,90次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,70.91,71.471875,68.6625,68.35,3.450000000000003,预算高于9次刷新；第91–100轮只训练B,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/s/tau1_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，固定A，正常与额外阶段都更新B,有,固定容量狄利克雷,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外B，各1 epoch,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,68.251,67.77125,70.17,70.4,0.04999999999999716,全程A不更新,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e2/tau1_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常只更新B，间歇额外更新A,有,固定容量狄利克雷,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,69.664,69.128125,71.8075,71.7,0.20000000000000284,A只在9个额外阶段更新,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e3/tau1_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，功能控制选择额外A或B更新,有,固定容量狄利克雷,4/FP32,冻结当前A，只更新B；每轮3 epoch,A/B两候选＋2轮前瞻；门控、冻结与有效锚点恢复,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,69.5845,69.036875,71.77499999999999,71.85,0.0,实际接受7次A；第92轮永久冻结；含额外分支/前瞻计算,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常A/B联合更新，并保留额外A更新,有,固定容量狄利克雷,4/FP32,A、B同时更新；每轮3 epoch,9次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,72.467,72.333125,73.0025,72.8,0.4000000000000057,不是单纯AB联训：9次额外A仍保留；A/B分别平均，无SVD,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/j/tau1_a1_protocol42/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常只更新B，前90轮每轮额外更新A,有,固定容量狄利克雷,4/FP32,冻结当前A，只更新B；每轮3 epoch,90次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,70.9435,70.661875,72.07,72.1,0.6500000000000057,预算高于9次刷新；第91–100轮只训练B,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/s/tau1_a1_protocol42/round_metrics.csv
历史联训参照,A/B全程联合更新，普通CE，有效矩阵平均后SVD,有,Client-LT,2/FP32,A、B同时更新；每轮3 epoch,无独立A阶段,普通 CE,先平均有效LoRA矩阵，再截断SVD回rank2,已完成100轮,64.6075,71.7,36.2375,36.4,32.25000000000001,与固定A主线在rank和聚合等方面有差异，不能当纯冻结消融,output/pfrf_kill_v1/runs/ordinary_ce/seed42/round_metrics.csv
非LoRA参照,CAPT提示学习与客户端协作对照,无,Client-LT,不适用,更新提示及CAPT原有可训练组件,无A/B更新,CAPT原生目标,cluster协作；每轮全局聚合,已完成100轮,69.9845,71.27625,64.8175,65.35,5.650000000000006,预算对齐配置；模型结构与LoRA不同,output/v2_capt_analysis/output/cifar100_LT/v2_matched/seed42/capt/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常只更新B，间歇额外更新A,有,普通狄利克雷 β=0.5,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,69.6035,69.0,72.0175,72.1,0.05000000000001137,A只在9个额外阶段更新,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/e3/tau1_a1_protocol42_beta0.5/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常A/B联合更新，并保留额外A更新,有,普通狄利克雷 β=0.5,4/FP32,A、B同时更新；每轮3 epoch,9次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,72.2925,72.52562499999999,71.36,71.25,1.7999999999999972,不是单纯AB联训：9次额外A仍保留；A/B分别平均，无SVD,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/j/tau1_a1_protocol42_beta0.5/round_metrics.csv
分离/联合/交替训练对照,加训练LA，正常只更新B，前90轮每轮额外更新A,有,普通狄利克雷 β=0.5,4/FP32,冻结当前A，只更新B；每轮3 epoch,90次额外A，各1 epoch；冻结共同B,训练logit校正LA，τ=1,按样本量聚合,已完成100轮,71.014,70.69312500000001,72.2975,72.0,0.9000000000000057,预算高于9次刷新；第91–100轮只训练B,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/s/tau1_a1_protocol42_beta0.5/round_metrics.csv
历史联训与聚合探索,A/B联合更新，样本量聚合,有,Client-LT,2/AMP,A、B同时更新；每轮3 epoch,无,普通 CE,分别平均A/B；权重q=n/N,已完成100轮,64.77250000000001,71.72812499999999,36.95,36.75,31.400000000000006,早期联合训练协议；不是固定容量狄利克雷,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/fedavg/round_metrics.csv
历史联训与聚合探索,A/B联合更新，按尾类支持者归一化聚合,有,Client-LT,2/AMP,A、B同时更新；每轮3 epoch,无,普通 CE,分别平均A/B；每尾类在支持客户端内按样本量归一化，再对尾类等权平均,已完成100轮,65.1425,70.05625,45.4875,45.8,22.35000000000001,早期联合训练协议；不是固定容量狄利克雷,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/support_normalized/round_metrics.csv
历史联训与聚合探索,A/B联合更新，样本量聚合,有,普通狄利克雷 β=0.5,2/AMP,A、B同时更新；每轮3 epoch,无,普通 CE,分别平均A/B；权重q=n/N,已完成100轮,66.842,71.346875,48.8225,48.7,19.5,早期联合训练协议；不是固定容量狄利克雷,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/fedavg/round_metrics.csv
历史联训与聚合探索,A/B联合更新，按尾类支持者归一化聚合,有,普通狄利克雷 β=0.5,2/AMP,A、B同时更新；每轮3 epoch,无,普通 CE,分别平均A/B；每尾类在支持客户端内按样本量归一化，再对尾类等权平均,已完成100轮,66.6745,70.8775,49.8625,49.4,18.65,早期联合训练协议；不是固定容量狄利克雷,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/support_normalized/round_metrics.csv
历史联训与聚合探索,A/B联合更新，类别先验平衡聚合，正则系数=0.25,有,Client-LT,2/AMP（入口配置）,A、B同时更新；每轮3 epoch,无,普通 CE,类别先验平衡求客户端权重；有效矩阵平均后SVD,已完成100轮,65.4455,71.78625,40.0825,40.35,27.999999999999993,此处LA作用于服务器聚合权重，不是训练logit校正；温度=1,output/la_lambda_sweep_seed42_results/output/cifar100_LT/ClipLora_LA_Aggregation_reg025_seed42/seed42/clientlt/la_aggregation/round_metrics.csv
历史联训与聚合探索,A/B联合更新，类别先验平衡聚合，正则系数=0.5,有,Client-LT,2/AMP（入口配置）,A、B同时更新；每轮3 epoch,无,普通 CE,类别先验平衡求客户端权重；有效矩阵平均后SVD,已完成100轮,65.1535,71.784375,38.63,38.5,30.0,此处LA作用于服务器聚合权重，不是训练logit校正；温度=1,output/la_lambda_sweep_seed42_results/output/cifar100_LT/ClipLora_LA_Aggregation_reg05_seed42/seed42/clientlt/la_aggregation/round_metrics.csv
历史联训与聚合探索,A/B联合更新，类别先验平衡聚合，正则系数=0,有,Client-LT,2/AMP（入口配置）,A、B同时更新；每轮3 epoch,无,普通 CE,类别先验平衡求客户端权重；有效矩阵平均后SVD,已完成100轮,65.539,70.539375,45.5375,45.55,23.0,此处LA作用于服务器聚合权重，不是训练logit校正；温度=1,output/la_lambda_sweep_seed42_results/output/cifar100_LT/ClipLora_LA_Aggregation_reg0_seed42/seed42/clientlt/la_aggregation/round_metrics.csv
历史联训与聚合探索,A/B联合更新，类别先验平衡聚合，正则系数=1,有,Client-LT,2/AMP（入口配置）,A、B同时更新；每轮3 epoch,无,普通 CE,类别先验平衡求客户端权重；有效矩阵平均后SVD,已完成100轮,64.923,71.735,37.675,37.9,30.4,此处LA作用于服务器聚合权重，不是训练logit校正；温度=1,output/la_lambda_sweep_seed42_results/output/cifar100_LT/ClipLora_LA_Aggregation_seed42/seed42/clientlt/la_aggregation/round_metrics.csv
历史功能保持探索,A/B联合更新，加本地记忆样本CE,有,Client-LT,2/FP32,A、B同时更新；2 epoch CE提案＋1 epoch校正,无独立A阶段；辅助损失合入第3 epoch,CE；第3 epoch加入记忆样本CE,有效矩阵平均后SVD；样本量权重,已完成100轮,65.8935,72.341875,40.1,40.35,28.300000000000004,与历史普通CE参照同一六组实验；辅助损失系数1；不是A/B分离,output/pfrf_kill_v1/runs/matched_memory_ce/seed42/round_metrics.csv
历史功能保持探索,A/B联合更新，加类别重加权的记忆CE,有,Client-LT,2/FP32,A、B同时更新；2 epoch CE提案＋1 epoch校正,无独立A阶段；辅助损失合入第3 epoch,CE；第3 epoch加入本地频数逆平方根加权记忆CE,有效矩阵平均后SVD；样本量权重,已完成100轮,66.1515,72.358125,41.325,41.55,27.10000000000001,与历史普通CE参照同一六组实验；辅助损失系数1；不是A/B分离,output/pfrf_kill_v1/runs/class_reweighted_ce/seed42/round_metrics.csv
历史功能保持探索,A/B联合更新，保持本轮已达到的功能目标,有,Client-LT,2/FP32,A、B同时更新；2 epoch CE提案＋1 epoch校正,无独立A阶段；辅助损失合入第3 epoch,CE；第3 epoch加入本轮目标的平方正部缺口损失,有效矩阵平均后SVD；样本量权重,已完成100轮,64.629,71.705,36.325,36.5,32.150000000000006,与历史普通CE参照同一六组实验；辅助损失系数1；不是A/B分离,output/pfrf_kill_v1/runs/instantaneous_target/seed42/round_metrics.csv
历史功能保持探索,A/B联合更新，保持跨轮历史最高功能目标,有,Client-LT,2/FP32,A、B同时更新；2 epoch CE提案＋1 epoch校正,无独立A阶段；辅助损失合入第3 epoch,CE；第3 epoch加入持久历史最高目标的缺口损失,有效矩阵平均后SVD；样本量权重,已完成100轮,64.87,71.86125,36.905,37.05,31.60000000000001,与历史普通CE参照同一六组实验；辅助损失系数1；不是A/B分离,output/pfrf_kill_v1/runs/pfrf_max/seed42/round_metrics.csv
历史功能保持探索,A/B联合更新，累计未兑现目标与本轮功能增益,有,Client-LT,2/FP32,A、B同时更新；2 epoch CE提案＋1 epoch校正,无独立A阶段；辅助损失合入第3 epoch,CE；第3 epoch加入累计目标的缺口损失；目标上限1,有效矩阵平均后SVD；样本量权重,已完成100轮,65.07849999999999,71.995,37.4125,37.8,30.85000000000001,与历史普通CE参照同一六组实验；辅助损失系数1；不是A/B分离,output/pfrf_kill_v1/runs/pfrf_add/seed42/round_metrics.csv
